"證券代號 TT","可借券賣出股數"
"證券代號 TT","可借券賣出股數"
"4944 TT","131,626"
"2303 TT","6,121,208"
"4947 TT","122,742"
"2305 TT","209,525"
"4953 TT","22,068"
"2308 TT","942,495"
"4966 TT","339,272"
"2311 TT","3,158,620"
"4971 TT","269,868"
"2312 TT","1,075,005"
"4972 TT","46,897"
"2313 TT","1,694,811"
"4973 TT","27,136"
"2314 TT","367,867"
"4974 TT","27,305"
"2316 TT","1,570,388"
"4979 TT","456,845"
"2317 TT","5,932,252"
"4991 TT","640,904"
"2323 TT","706,712"
"4995 TT","11,300"
"2324 TT","2,723,530"
"5009 TT","668,862"
"2325 TT","3,332,534"
"5011 TT","498"
"2327 TT","207,164"
"5013 TT","37,058"
"2328 TT","290,818"
"5014 TT","19,618"
"2329 TT","676,978"
"5015 TT","178,126"
"2330 TT","6,774,330"
"5016 TT","1,851"
"2331 TT","396,056"
"5102 TT","6,509"
"2332 TT","476,253"
"5201 TT","4,494"
"2337 TT","1,440,079"
"5202 TT","8,238"
"2338 TT","76,404"
"5206 TT","8,027"
"2340 TT","498,289"
"5210 TT","6,202"
"2344 TT","2,074,201"
"5211 TT","9,377"
"2345 TT","2,233,677"
"5212 TT","7,485"
"2347 TT","913,796"
"5213 TT","34,683"
"2349 TT","1,868,594"
"5230 TT","35,984"
"2351 TT","340,934"
"5245 TT","155,483"
"2352 TT","900,857"
"5251 TT","12,933"
"2353 TT","2,225,961"
"5255 TT","5,414"
"2354 TT","1,403,938"
"5263 TT","44,722"
"2355 TT","479,552"
"5272 TT","92,800"
"2356 TT","4,783,814"
"5274 TT","18,178"
"2357 TT","266,862"
"5284 TT","41,473"
"2358 TT","66,046"
"5287 TT","4,544"
"2359 TT","267,549"
"5289 TT","450,103"
"2360 TT","105,939"
"5291 TT","8,260"
"2362 TT","252,091"
"5301 TT","21,870"
"2363 TT","437,964"
"5302 TT","23,752"
"2365 TT","89,535"
"5306 TT","46,493"
"2367 TT","337,001"
"5309 TT","1,404,259"
"2368 TT","381,779"
"5310 TT","16,391"
"2369 TT","217,769"
"5312 TT","7,866"
"2371 TT","1,099,802"
"5314 TT","25,613"
"2373 TT","12,929"
"5315 TT","578,430"
"2374 TT","74,524"
"5317 TT","6,345"
"2375 TT","48,501"
"5321 TT","3,131"
"2376 TT","256,710"
"5324 TT","10,113"
"2377 TT","1,232,249"
"5328 TT","119,339"
"2379 TT","713,297"
"5344 TT","5,212"
"2380 TT","42,892"
"5345 TT","19,085"
"2382 TT","1,136,330"
"5347 TT","806,432"
"2383 TT","728,685"
"5349 TT","1,242,611"
"2385 TT","302,252"
"5351 TT","619,294"
"2387 TT","366,577"
"5353 TT","30,259"
"2390 TT","361,064"
"5355 TT","43,981"
"2392 TT","201,557"
"5356 TT","121,503"
"2393 TT","576,033"
"5371 TT","389,847"
"2395 TT","169,040"
