"證券代號 TT","可借券賣出股數"
"5014 TT","17,775"
"2330 TT","7,006,371"
"5015 TT","187,828"
"2331 TT","290,360"
"5016 TT","1,454"
"2332 TT","357,291"
"5102 TT","6,591"
"2337 TT","1,050,230"
"5201 TT","4,453"
"2338 TT","59,311"
"5202 TT","8,692"
"2340 TT","412,171"
"5206 TT","5,128"
"2344 TT","1,556,396"
"5210 TT","4,559"
"2345 TT","2,010,943"
"5211 TT","7,823"
"2347 TT","862,695"
"5212 TT","6,616"
"2349 TT","1,937,189"
"5213 TT","34,619"
"2351 TT","264,463"
"5230 TT","50,561"
"2352 TT","690,068"
"5245 TT","114,729"
"2353 TT","1,849,758"
"5251 TT","15,519"
"2354 TT","1,023,808"
"5255 TT","5,346"
"2355 TT","660,993"
"5263 TT","23,285"
"2356 TT","4,130,984"
"5272 TT","42,232"
"2357 TT","247,322"
"5274 TT","20,127"
"2358 TT","57,515"
"5284 TT","22,220"
"2359 TT","233,356"
"5287 TT","1,832"
"2360 TT","115,142"
"5289 TT","378,954"
"2362 TT","170,314"
"5291 TT","3,163"
"2363 TT","323,560"
"5301 TT","13,029"
"2365 TT","88,829"
"5302 TT","13,669"
"2367 TT","254,121"
"5306 TT","25,727"
"2368 TT","236,621"
"5309 TT","1,414,188"
"2369 TT","135,667"
"5310 TT","13,349"
"2371 TT","784,924"
"5312 TT","9,861"
"2373 TT","10,216"
"5314 TT","16,276"
"2374 TT","59,574"
"5315 TT","541,358"
"2375 TT","39,625"
"5317 TT","7,351"
"2376 TT","212,805"
"5321 TT","2,856"
"2377 TT","1,402,786"
"5324 TT","8,113"
"2379 TT","752,178"
"5328 TT","101,156"
"2380 TT","36,905"
"5344 TT","3,382"
"2382 TT","1,115,035"
"5345 TT","30,399"
"2383 TT","659,367"
"5347 TT","1,047,260"
"2385 TT","336,669"
"5349 TT","1,933,924"
"2387 TT","338,591"
"5351 TT","409,289"
"2390 TT","172,818"
"5353 TT","20,195"
"2392 TT","204,098"
"5355 TT","29,617"
"2393 TT","457,677"
"5356 TT","162,036"
"2395 TT","155,884"
"5371 TT","244,377"
"2397 TT","175,957"
"5383 TT","6,035"
"2399 TT","18,589"
"5384 TT","2,213"
"2401 TT","1,146,129"
"5386 TT","1,345"
"2402 TT","364,625"
"5392 TT","29,752"
"2404 TT","275,640"
"5403 TT","54,319"
"2405 TT","2,579,062"
"5410 TT","72,755"
"2406 TT","1,059,519"
"5425 TT","555,502"
"2408 TT","1,101,972"
"5426 TT","14,748"
"2409 TT","10,510,303"
"5432 TT","2,739"
"2412 TT","1,807,616"
"5438 TT","67,645"
"2413 TT","110,624"
"5439 TT","13,023"
"2414 TT","29,960"
"5443 TT","344,089"
"2415 TT","99,869"
"5452 TT","134,403"
"2417 TT","43,486"
"5457 TT","159,214"
"2419 TT","1,187,255"
"5460 TT","20,399"
"2420 TT","82,309"
"5464 TT","10,553"
"2421 TT","478,432"
"5465 TT","25,987"
"2423 TT","18,264"
"5474 TT","71,303"
"2424 TT","1,455"
"5475 TT","49,930"
"2425 TT","54,014"
"5478 TT","184,766"
"2426 TT","258,818"
"5480 TT","31,040"
"2427 TT","53,498"
"5481 TT","60,086"
"2428 TT","77,208"
"5483 TT","693,166"
"2430 TT","27,193"
"5487 TT","80,322"
"2431 TT","178,982"
"5488 TT","16,745"
"2433 TT","13,997"
"5489 TT","11,154"
"2436 TT","898,084"
"5490 TT","279,338"
"2437 TT","32,207"
"5491 TT","34,853"
"2439 TT","775,340"
"5493 TT","17,230"
"2441 TT","96,699"
"5498 TT","37,963"
"2442 TT","41,010"
"5508 TT","60,426"
"2443 TT","98,191"
"5511 TT","27,681"
"2444 TT","341,427"
"5512 TT","152,910"
"2448 TT","1,880,448"
"5514 TT","7,000"
"2449 TT","1,565,989"
"5516 TT","1,206"
"2450 TT","23,466"
"5520 TT","2,840"
"2451 TT","121,477"
"5523 TT","1,389"
"2453 TT","65,820"
"5529 TT","38,047"
"2454 TT","1,214,914"
"5530 TT","33,031"
"2455 TT","989,151"
"5536 TT","12,204"
"2456 TT","481,502"
"5603 TT","36,897"
"2457 TT","197,788"
"5604 TT","4,067"
"2458 TT","562,688"
"5609 TT","16,025"
"2459 TT","13,000"
"5703 TT","2,507"
"2460 TT","14,007"
"5704 TT","42,147"
"2461 TT","102,515"
"5820 TT","167,038"
"2462 TT","23,430"
"5903 TT","58,605"
"2464 TT","318,758"
"5904 TT","11,524"
"2466 TT","17,014"
"5905 TT","46,058"
"2467 TT","108,332"
"6015 TT","67,680"
"2468 TT","12,404"
"6016 TT","68,087"
"2471 TT","60,136"
"6020 TT","8,750"
"2472 TT","161,403"
"6021 TT","46,177"
"2474 TT","1,551,428"
"6022 TT","49,872"
"2475 TT","546,924"
"6023 TT","26,966"
"2476 TT","29,154"
"6024 TT","53,722"
"2477 TT","61,522"
"6101 TT","5,532"
"2478 TT","139,309"
"6104 TT","334,281"
"2480 TT","35,392"
"6105 TT","113,792"
"2481 TT","1,061,825"
"6107 TT","60,015"
"2482 TT","256,678"
"6109 TT","15,483"
"2483 TT","64,098"
"6111 TT","328,411"
"2484 TT","476,058"
"6113 TT","21,624"
"2485 TT","1,448,965"
"6114 TT","50,026"
"2486 TT","39,500"
"6118 TT","45,196"
"2488 TT","311,392"
"6121 TT","194,907"
"2489 TT","1,347,998"
"6122 TT","11,649"
"2492 TT","1,122,870"
"6123 TT","159,003"
"2493 TT","66,491"
"6124 TT","3,538"
"2495 TT","302,003"
"6125 TT","140,125"
"2497 TT","281,881"
"6126 TT","42,664"
"2498 TT","6,173,345"
"6127 TT","12,537"
"2499 TT","233,178"
"6129 TT","52,111"
"2501 TT","259,353"
"6130 TT","1,928"
"2504 TT","268,609"
"6134 TT","7,116"
"2505 TT","75,048"
"6138 TT","265,143"
"2506 TT","24,325"
"6140 TT","6,615"
"2509 TT","47,652"
"6143 TT","269,119"
"2511 TT","637,555"
"6146 TT","40,775"
"2514 TT","160,843"
"6147 TT","900,274"
"2515 TT","936,603"
"6148 TT","27,775"
"2516 TT","111,380"
"6151 TT","62,616"
"2520 TT","423,018"
"6154 TT","4,925"
"2524 TT","38,718"
"6156 TT","63,351"
"2527 TT","28,734"
"6158 TT","116,140"
"2528 TT","3,380"
"6160 TT","263,973"
"2530 TT","193,131"
"6161 TT","17,439"
"2534 TT","85,325"
"6163 TT","64,863"
"2535 TT","35,653"
"6169 TT","96,287"
"2536 TT","122,653"
"6170 TT","114,705"
"2537 TT","250,221"
"6171 TT","65,229"
"2538 TT","321,952"
"6173 TT","744,452"
"2539 TT","47,256"
"6174 TT","4,117"
"2540 TT","2,985"
"6175 TT","17,150"
"2542 TT","1,950,758"
"6179 TT","10,563"
"2543 TT","13,504"
"6180 TT","211,551"
"2545 TT","182,363"
"6182 TT","338,326"
"2546 TT","14,823"
"6185 TT","72,064"
"2547 TT","234,155"
"6186 TT","127,764"
"2548 TT","349,654"
"6187 TT","367,247"
"2597 TT","20,311"
"6188 TT","147,428"
"2601 TT","217,227"
"6190 TT","25,531"
"2603 TT","940,228"
"6194 TT","17,543"
"2605 TT","140,210"
"6195 TT","7,392"
"2606 TT","378,729"
"6203 TT","9,025"
"2607 TT","115,485"
"6204 TT","3,064"
"2608 TT","527,465"
"6207 TT","152,793"
"2609 TT","1,085,282"
